Network Name,Management IP
NET14233-DSL-BG170MS1.CE3,10.163.14.228
NET254A-DSL-EXETER.CE1,10.161.50.224
NET13918-DSL-DUNGANNON.CE1,10.161.238.241
NET13918-DSL-BOSTON.CE1,10.161.238.243
NET10946-DSL-SIGHTHILLTRAININGDEPOTD894.CE4,10.161.238.226
NET10946-DSL-SIGHTHILLTRAININGDEPOTD894.CE1,10.161.216.204
NET10946-DSL-MONTROSERLODF70.CE3,10.161.216.229
NET10946-DSL-MONTROSERLODF70.CE2,10.161.216.228
NET10946-DSL-WYTHENSHAWEDF14.CE4,10.161.239.97
NET10946-DSL-WYTHENSHAWEDF14.CE1,10.161.216.219
NET10946-DSL-PEASMARSHDF63.CE4,10.161.239.144
NET10946-DSL-PEASMARSHDF63.CE1,10.161.216.222
NET10946-DSL-BROMSGROVEDE71.CE4,10.161.239.42
NET10946-DSL-BROMSGROVEDE71.CE3,10.161.216.214
NET10946-DSL-BROMSGROVEDE71.CE2,10.161.216.213
NET13753-DSL-ANDREANEWMAN.CE1,10.161.238.205
NET13918-DSL-PORTTALBOT.CE1,10.161.239.114
NET13918-DSL-BENFLEET.CE1,10.161.239.116
NET10006-DSL-BIRSTALL.CE1,10.161.238.197
NET13753-DSL-JENSWEENY.CE1,10.161.238.204
NET10946-DSL-BICESTERRLODF67.CE4,10.161.239.6
NET10946-DSL-BICESTERRLODF67.CE3,10.161.216.211
NET10946-DSL-BICESTERRLODF67.CE2,10.161.216.210
NET10946-DSL-LEATHERHEADRLODF73.CE4,10.161.239.4
NET10946-DSL-LEATHERHEADRLODF73.CE3,10.161.216.208
NET10946-DSL-LEATHERHEADRLODF73.CE2,10.161.216.207
NET10946-DSL-HUDDERSFIELDRLODF69.CE4,10.161.239.85
NET10946-DSL-HUDDERSFIELDRLODF69.CE1,10.161.216.216
NET14908-DSL-MANSFIELDCORPS.CE1,10.163.13.128
NET10946-DSL-WOMBWELLDF46.CE4,10.161.238.211
NET10946-DSL-WOMBWELLDF46.CE1,10.161.216.198
NET13313-DSL-CARRONDOCK.CE2,10.161.238.100
NET14908-DSL-MORDENCORPS.CE1,10.163.14.125
NET12695-DSL-CANARYWHARF.CE1,10.161.50.114
NET11112-DSL-DURHAM.CE2,10.161.51.236
NET11112-DSL-DURHAM.CE1,10.161.51.235
NET15823-DSL-ASQUITH.CE1,10.160.226.67
NET15873-DSL-WILLESDENT111.CE3,10.161.238.215
NET14070-DSL-WISBECH.CE1,10.161.50.126
NET15873-DSL-SUTTONSHOPT738.CE1,10.160.122.98
NET15873-DSL-PLYMOUTHT026.CE1,10.161.238.218
NET15873-DSL-LOUGHTONSHOPT790.CE1,10.160.60.245
NET14908-DSL-CHESTERTONCORPS.CE1,10.163.14.21
NET12489-DSL-C27945MSNPHARMACY.CE1,10.161.31.222
NET002A-DSL-10197-7771ESSPEMBROKE.CE2,10.161.50.72
NET13459-DSL-HARRODS.CE1,10.161.50.75
NET13442-DSL-YELLATON.CE1,10.161.238.32
NET13442-DSL-WELBECKSTREET.CE1,10.161.238.96
NET13442-DSL-WARNERROAD.CE1,10.160.123.118
NET13442-DSL-TODDINGTONMANOR.CE1,10.161.238.161
NET13442-DSL-MULLACOTTCROSS.CE1,10.161.238.35
NET13442-DSL-ILFRACOMBE.CE1,10.161.238.72
NET13442-DSL-HANGAR2021.CE1,10.161.239.87
NET13442-DSL-GLENGALLROAD.CE1,10.160.60.146
NET13442-DSL-CHALFORDSTUDIO.CE1,10.161.238.73
NET15873-DSL-LIVERPOOLEDGELANET718.CE1,10.160.122.169
NET10946-DSL-YORKWAREHOUSED256W.CE4,10.161.238.190
NET10946-DSL-YORKWAREHOUSED256W.CE2,10.161.216.195
NET14233-DSL-BG245PO1.CE2,10.163.3.253
NET12726-DSL-LONDON.CE1,10.160.227.69
